team,player_name
PBKS,Bhanuka Rajapaksa
PBKS,Shikhar Dhawan
PBKS,Jitesh Sharma
PBKS,Jonny Bairstow
PBKS,Atharva Taide
PBKS,Writtick Chatterjee
PBKS,Ansh Patel
PBKS,Benny Howell
PBKS,Liam Livingstone
PBKS,Odean Smith
PBKS,Prerak Mankad
PBKS,Raj Angad Bawa
PBKS,Baltej Dhanda
PBKS,Kagiso Rabada
PBKS,Vaibhav Arora
PBKS,Harpreet Bhatia
PBKS,Matthew William Short
PBKS,Sikandar Raza
PBKS,Shivam Singh
PBKS,Gurnoor Singh Brar
PBKS,Vidwath Kaverappa
PBKS,Mohit Rathee
PBKS,Rilee Rossouw
PBKS,Shashank Singh
PBKS,Chris Woakes
PBKS,Vishwanath Pratap Singh
PBKS,Ashutosh Sharma
PBKS,Tanay Thyagarajann
PBKS,Harshal Patel
PBKS,Prince Choudhary
PBKS,Harnoor Pannu
PBKS,Josh Inglis
PBKS,Pyla Avinash
PBKS,Shreyas Iyer
PBKS,Vishnu Vinod
PBKS,Nehal Wadhera
PBKS,Azmatullah Omarzai
PBKS,Aaron Hardie
PBKS,Musheer Khan
PBKS,Suryansh Shedge
PBKS,Priyansh Arya
PBKS,Marco Jansen
PBKS,Mitch Owen
PBKS,Kuldeep Sen
PBKS,Vyshak Vijaykumar
PBKS,Yash Thakur
PBKS,Xavier Bartlett
PBKS,Pravin Dubey
PBKS,Yuzvendra Chahal
PBKS,Kyle Jamieson
PBKS,Cooper Connolly
PBKS,Vishal Nishad
PBKS,Lockie Ferguson
RCB,Rahul Dravid
RCB,Shreevats Goswami
RCB,Ross Taylor
RCB,Bharat Chipli
RCB,Virat Kohli
RCB,Cameron White
RCB,Jacques Kallis
RCB,Praveen Kumar
RCB,KP Appanna
RCB,Zaheer Khan
RCB,Vinay Kumar
RCB,Dale Steyn
RCB,Chidhambaram Gautam
RCB,Ishank Jaggi
RCB,Manish Pandey
RCB,Raju Bhatkal
RCB,Kedar Jadhav
RCB,Pankaj Singh
RCB,Eoin Morgan
RCB,Kevin Pietersen
RCB,Robin Uthappa
RCB,Steve Smith
RCB,Roelof Van Der Merwe
RCB,Abhimanyu Mithun
RCB,Bhuvneshwar Kumar
RCB,AB De Villiers
RCB,Arun Karthik
RCB,Asad Pathan
RCB,Cheteshwar Pujara
RCB,Mayank Agarwal
RCB,Mohammad Kaif
RCB,Saurabh Tiwary
RCB,Luke Pomersbach
RCB,Rilee Rossouw
RCB,Daniel Vettori
RCB,Ryan Ninan
RCB,Chris Gayle
RCB,Tillakaratne Dilshan
RCB,Abrar Kazi
RCB,Syed Mohammad
RCB,Sreenath Aravind
RCB,Charl Langeveldt
RCB,Dirk Nannes
RCB,Karun Nair
RCB,Vijay Zol
RCB,Harshal Patel
RCB,Andrew McDonald
RCB,KL Rahul
RCB,Abhinav Mukund
RCB,Sunny Sohal
RCB,Moises Henriques
RCB,Dan Christian
RCB,Sandeep Warrier
RCB,Ravi Rampaul
RCB,Jaydev Unadkat
RCB,RP Singh
RCB,Muttiah Muralitharan
RCB,Murali Kartik
RCB,Parthiv Patel
RCB,Yogesh Takawale
RCB,Tanmay Mishra
RCB,Nic Maddinson
RCB,Yuvraj Singh
RCB,Albie Morkel
RCB,Sachin Rana
RCB,Abu Nechim
RCB,Mitchell Starc
RCB,Shadab Jakati
RCB,Yuzvendra Chahal
RCB,Ashok Dinda
RCB,Varun Aaron
RCB,Manvinder Bisla
RCB,Dinesh Karthik
RCB,Mandeep Singh
RCB,Subramaniam Badrinath
RCB,Sarfaraz Khan
RCB,Darren Sammy
RCB,David Wiese
RCB,Sean Abbott
RCB,Jalaj Saxena
